"date","channel","variant","impressions","clicks","conversions","spend","revenue"
"2024-02-23","TikTok","B",10981,237,8,45.61,361.13
"2024-01-19","Google Search","B",4783,205,18,55.65,990.5
"2024-01-23","Facebook","A",7480,120,4,48.27,174.82
"2024-03-02","Google Search","A",4971,185,17,61.84,910.23
"01/10/2024","Facebook","A",6957,141,6,44.71,321.44
"2024-03-16","Google Search","A",4867,209,12,59.86,563.33
"02/03/2024","Google Search","A",4914,258,22,54.54,1277.05
"2024-01-11","Email","B",2710,218,22,2.61,1100.07
"2024-03-19","Email","B",3105,247,22,3.31,1337.64
"2024-03-19","Facebook","A",7640,159,8,45.43,386.94
"2024-02-17","IG","A",10303,147,5,61.35,238.7
"2024-03-24","Google Search","B",4546,147,15,55.45,1007.69
"01/03/2024","TikTok","A",7227,115,2,28.23,121.15
"02/02/2024","email","A",3057,261,32,2.91,2195.38
"2024-02-19","tiktok","B",8947,258,12,37.39,707.86
"01/29/2024","TikTok","B",7078,225,9,26.33,548.85
"2024-01-27","Email","B",2933,277,35,2.88,1684.81
"2024-02-24","email","B",3073,263,26,3.03,1298.76
"2024-01-15","Instagram","B",8428,164,8,48.07,481.67
"2024-03-09","Instagram","A",9240,122,3,48.66,132.51
"2024-02-02","Google Search","A",5419,235,16,64.2,793.19
"2024-02-06","Facebook","B",7638,197,9,50.08,526
"2024-01-19","Email","B",3033,265,28,3.18,1484.67
"2024-03-03","Instagram","A",10216,165,5,57.26,280.62
"2024-01-01","Facebook","B",7548,243,9,50.79,469
"2024-03-11","Facebook","A",8232,130,6,54.57,402.24
"2024-01-28","TikTok","A",7815,159,4,29.42,244.36
"01/29/2024","Email","B",2920,258,28,3.07,1566.46
"2024-02-22","Facebook","A",7807,131,7,53.5,383.83
"2024-01-04","TikTok","A",6760,137,4,25.91,278.09
"2024-02-28","Google Search","A",5169,165,15,61.31,596.58
"2024-01-19","google search","A",5048,262,18,62.42,1168.7
"02/24/2024","Instagram","B",9463,193,6,50.81,309.68
"2024-01-31","Facebook","B",7891,232,17,49.82,982.28
"2024-03-14","TikTok","B",11076,311,13,44.28,869.16
"2024-03-16","Tik Tok","B",12126,420,16,48.83,904.65
"01/02/2024","Facebook","B",7373,182,9,48.54,460.72
"02/23/2024","TikTok","A",8365,168,5,35.01,291.06
"2024-02-29","Facebook","B",7466,212,12,44.83,736.35
"2024-02-18","Google Search","A",5028,220,22,59.47,1340.75
"26-03-2024","Google Search","A",4577,157,14,53.19,852.88
"2024-03-07","Email","A",3472,268,37,3.51,2487.27
"2024-01-10","Google Search","A",5086,236,23,56.64,1251.74
"2024-02-19","Google Search","A",4986,163,16,64.63,721.83
"2024-02-27","Email","B",3395,331,42,3.63,2458.8
"2024-01-07","Email","A",3145,222,31,2.93,1992.02
"2024-01-04","Instagram","A",8579,140,5,46.53,236.63
"2024-03-11","Instagram","A",8890,136,3,48.33,162.26
"01-03-2024","Instagram","B",8208,143,6,44.91,367.47
"2024-03-08","Email","A",3674,302,29,3.22,1814.85
"2024-03-27","tiktok","B",11196,331,13,39.44,594.78
"2024-01-14","Facebook","B",7966,227,13,48.34,588.86
"03/15/2024","Google Search","A",4736,235,26,56.36,1338.08
"2024-02-13","Email","A",3146,204,35,3.25,1821.38
"2024-03-06","Email","B",2842,210,22,2.81,1109.28
"2024-03-13","Instagram","A",8859,158,5,48.84,354.94
"2024-03-10","Tik Tok","A",12042,268,8,45.93,330.67
"2024-03-22","Tik Tok","B",11572,409,15,44.71,769.61
"2024-01-12","Email","B",2542,214,24,2.37,1615.18
"03/22/2024","Google Search","B",4812,135,13,57.2,509.37
"2024-01-10","EMAIL","A",3486,334,37,3.53,2300.99
"2024-01-21","Email","B",2121,135,16,2.12,787.35
"2024-03-13","Email","B",3306,279,26,3.22,1314.14
"2024-01-12","Google Search","A",4922,249,19,53.93,1135.97
"2024-02-09","Google Search","B",4668,177,17,49.43,1007.76
"2024-03-18","Facebook","A",5773,104,3,37.13,128.81
"2024-02-22","Google Search","B",5102,268,22,57.61,646.88
"2024-01-01","Email","A",3453,264,30,3.32,1455.27
"2024-01-20","Email","B",3363,203,24,3.95,1643.45
"22-02-2024","Instagram","B",8488,181,8,43.52,418.01
"2024-03-07","tiktok","B",8558,273,12,32.62,542.34
"02/05/2024","Instagram","B",9196,169,8,NA,442.02
"2024-02-21","TikTok","A",10629,199,4,NA,227.43
"2024-02-13","tiktok","B",10670,399,15,45.59,846.81
"2024-01-30","Email","B",2818,230,25,2.64,1409.35
"2024-03-12","Google Search","B",4992,236,23,57.99,1129.14
"2024-01-23","Instagram","A",9540,146,4,51.29,200.85
"2024-03-27","Instagram","B",8372,172,6,45.38,310.03
"2024-01-07","TikTok","A",6373,104,2,24.51,111.4
"2024-02-07","email","B",3600,265,28,3.75,1521.12
"2024-02-14","Facebook","A",8152,156,9,51.47,582.29
"2024-01-21","TikTok","B",8567,249,8,32.82,465.52
"2024-01-17","Google Search","B",4899,202,15,61.07,783.86
"2024-01-01","Instagram","A",9364,138,5,52.8,220.27
"2024-01-23","Google Search","A",4732,219,24,57.3,1407.15
"2024-02-11","Tik Tok","B",9400,275,12,39.08,600.54
"2024-01-08","Email","A",2913,299,34,2.87,1990.23
"2024-03-09","Google Search","B",4858,179,10,59.49,674.87
"2024-01-06","Facebook","A",7123,145,7,48.21,346.49
"18-02-2024","Instagram","A",8927,137,5,44.91,249.85
"2024-02-01","Facebook","A",8624,174,7,53.92,409.81
"2024-03-24","TikTok","A",11563,224,5,NA,336.06
"2024-02-12","Google Search","A",4967,203,20,55.38,872.66
"2024-01-23","TikTok","B",8762,329,13,36.08,672
"2024-01-18","Instagram","B",8709,180,6,54.18,338.18
"2024-03-23","TikTok","A",12319,210,4,NA,232.64
"2024-02-07","Facebook","A",7159,165,8,48.39,400.87
"2024-03-20","Facebook","B",7253,175,9,46.03,657.25
"01/13/2024","Instagram","B",10408,246,10,55.35,441.63
"2024-03-28","Email","B",2968,270,24,2.75,1184.33
"2024-01-02","Email","B",3027,297,35,3,1516.42
"2024-03-21","Instagram","A",7205,115,4,38.41,306.46
"02/20/2024","TikTok","B",10556,371,15,38.67,691.94
"2024-03-02","Email","B",2683,238,31,2.48,1780.15
"18-02-2024","Facebook","B",7519,166,9,49.61,496.9
"2024-02-12","Email","A",3056,233,31,2.88,1677.82
"2024-01-09","Email","A",2999,161,18,2.69,1036.22
"2024-03-08","Facebook","A",8101,117,4,52.64,217.39
"2024-01-30","Instagram","A",9550,132,5,52.28,320.6
"03/07/2024","Instagram","A",9338,127,4,52.92,223.73
"26-03-2024","Email","B",2494,189,20,2.32,730.9
"14-03-2024","Google Search","A",5320,212,24,61.27,1530.38
"2024-01-19","TikTok","B",6619,178,8,23.65,418.13
"2024-03-20","Google Search","A",5829,201,20,71.28,1003
"2024-03-04","instagram","B",7087,162,7,39.07,350.13
"2024-03-12","IG","A",8476,176,5,48.29,321.71
"2024-03-04","Facebook","B",7332,183,9,51.3,546.57
"2024-01-17","Google Search","A",5109,258,22,61.27,1014.1
"03/29/2024","EMAIL","B",2869,232,28,2.92,1472.72
"02/14/2024","Google Search","B",4446,189,17,51.69,785.04
"2024-03-19","IG","A",8173,108,4,42.81,251.25
"2024-03-18","Email","B",2964,310,37,2.95,1586.42
"2024-01-27","Google Search","B",5254,147,14,64.91,692.76
"03/15/2024","TikTok","A",10234,170,5,40.94,224.74
"2024-01-14","Google Search","B",5282,235,16,61.51,776.81
"2024-01-03","Email","B",2963,354,27,3.14,1391.44
"2024-02-21","TikTok","B",10150,219,12,40.69,678.12
"2024-01-26","TikTok","A",7959,151,4,34.18,225.45
"2024-01-29","Google Search","B",4803,173,15,58.33,715.94
"2024-03-15","Email","A",3044,252,31,3.1,1515.6
"2024-03-07","Facebook","A",7219,135,6,43.87,410.97
"2024-02-13","facebook","B",7082,135,6,47.98,244.66
"02/12/2024","Instagram","B",8482,160,6,46.4,378.75
"2024-03-08","Google Search","A",4862,194,19,58.96,1098.9
"2024-03-14","Google Search","B",4141,143,11,54.55,515.34
"2024-03-28","Facebook","B",7445,199,11,52,604.48
"29-03-2024","Google Search","A",4357,154,15,51.49,943.13
"2024-02-05","Email","B",2673,259,26,2.62,1404.26
"2024-03-26","TikTok","B",12627,363,16,51.49,889.74
"2024-02-26","Google Search","B",6187,220,20,70.63,1089.41
"2024-02-03","Google Search","B",4791,187,17,57.59,1098.56
"2024-01-08","Google Search","A",5366,221,24,65.96,1415.68
"04-03-2024","Instagram","A",8675,148,4,47.59,244.67
"2024-01-30","TikTok","B",8798,238,12,33.49,543.8
"2024-03-25","Facebook","A",7144,132,4,43.68,238.17
"03/01/2024","Email","A",3384,294,35,3.39,1800.52
"01/14/2024","Google Search","A",4447,197,17,56.51,1018.41
"2024-02-06","tiktok","A",10480,183,5,40.56,243.03
"2024-02-11","Email","B",2790,231,31,2.79,1262.72
"2024-03-27","facebook","A",8308,153,6,57.4,296.88
"2024-03-14","TikTok","A",10762,209,6,48.19,262.67
"2024-02-04","Google Search","A",4213,192,19,48.43,915.06
"2024-02-05","Facebook","A",7325,164,7,48.77,464.74
"02/17/2024","Google Search","A",5010,250,20,61.27,1098.29
"2024-03-23","Instagram","B",7408,148,5,41.19,309.78
"2024-01-07","Instagram","A",8868,145,6,51.18,359.14
"2024-03-06","Google Search","A",5371,222,21,65.95,1159.56
"2024-02-10","TikTok","B",9356,272,11,40.2,622.04
"2024-01-17","Email","A",2864,227,24,2.91,1173.31
"2024-02-15","Email","A",2908,255,26,2.8,1415.08
"2024-03-29","Google Search","B",5831,198,14,67.88,760.23
"2024-03-30","Google Search","B",5614,164,19,71.27,1017.79
"2024-03-16","Facebook","B",7863,185,9,49.98,436.82
"07-03-2024","TikTok","A",11943,274,5,53.15,212.43
"2024-01-09","email","B",3197,280,33,3.16,1735.96
"2024-01-30","Email","A",2682,258,28,2.56,1606.17
"2024-03-17","Instagram","A",9400,144,4,53.9,177.46
"2024-01-01","Instagram","B",8904,205,7,44.77,409.24
"2024-03-27","Email","B",2991,247,31,2.83,1739.34
"2024-03-07","Google Search","B",5441,155,16,67.14,777.25
"2024-02-01","Google Search","B",4804,226,26,62.29,1394.08
"2024-03-05","Instagram","A",8291,157,4,45.96,225.85
"22-01-2024","Facebook","B",8337,198,11,53.42,611.43
"2024-01-18","Instagram","A",9379,140,4,48.23,186.93
"2024-01-30","Facebook","A",8099,112,5,54.2,311.31
"02/04/2024","Google Search","B",5646,209,19,60.39,918.85
"2024-01-20","Instagram","A",8177,130,5,41.3,317.2
"2024-03-22","Google Search","A",5279,133,10,65.21,685.31
"16-01-2024","Tik Tok","A",7827,134,3,30.81,167.74
"2024-03-22","Facebook","A",6707,114,5,44.57,276.54
"03/11/2024","email","A",3180,226,18,3.37,1063.6
"2024-02-29","facebook","A",6579,112,5,44.19,243.66
"2024-03-08","Instagram","A",8720,124,3,46.45,176.82
"2024-02-16","Google Search","B",5130,181,18,65.98,1014.67
"2024-01-13","Instagram","A",8406,147,4,49.45,168.72
"2024-03-04","Google Search","A",6001,208,19,71.99,761.15
"2024-01-11","Instagram","A",8352,167,7,45.31,413.77
"01-02-2024","Google Search","A",4946,211,22,61.3,1127.48
"2024-02-13","FB","A",9420,201,10,59.26,448.97
"2024-02-26","TikTok","B",9567,266,10,38.13,644.58
"2024-03-03","TikTok","B",10440,349,14,40.31,725.89
"2024-02-22","Google Search","A",5353,228,20,60.44,1004.74
"2024-03-08","Facebook","B",8207,193,10,50,561.78
"2024-02-08","Email","A",2891,207,22,2.61,1116.99
"2024-03-24","Email","B",3053,241,22,3.28,1088.39
"2024-03-19","Facebook","B",6898,158,9,45.56,572.52
"2024-02-13","Google Search","A",4460,200,16,52.11,792.07
"2024-03-27","Google Search","B",5049,180,15,61.88,693.65
"2024-01-06","email","A",2778,249,32,3.12,1717.44
"2024-01-25","TikTok","B",7657,243,11,29.86,607.85
"2024-02-27","TikTok","A",7912,132,5,31.34,262.59
"2024-01-13","Email","B",3259,317,37,3.34,2281.05
"2024-01-22","TikTok","B",9184,251,9,38.49,682.38
"10-03-2024","TikTok","B",9607,223,6,37.57,299.48
"2024-01-30","IG","B",8400,168,8,47.83,519.11
"2024-03-23","Facebook","B",7760,209,14,51.35,829.64
"2024-02-12","Instagram","A",8430,112,3,44.83,214.9
"2024-02-13","Google Search","B",5534,211,16,66.42,728.41
"2024-02-28","TikTok","A",8696,202,5,30.91,210.42
"2024-02-20","Facebook","B",7996,202,205,51.06,599.24
"2024-02-23","facebook","B",8685,136,7,51.04,348.2
"2024-02-17","Email","B",2926,231,24,3.05,1305.86
"2024-03-10","Instagram","B",8008,173,7,46.72,399.8
"18-03-2024","Instagram","B",10559,189,6,63.18,247.73
"2024-02-18","Facebook","A",9062,158,8,61.72,480.54
"01/15/2024","TikTok","B",7445,184,7,29.8,358.88
"2024-03-16","Email","B",2849,255,24,2.9,1339.89
"2024-03-28","Instagram","B",8144,199,8,45.59,514.89
"2024-01-22","TikTok","A",7138,155,3,26.57,161.68
"2024-03-25","Instagram","A",8595,118,2,44.8,124.33
"2024-03-10","Instagram","A",8279,116,3,46.08,183.4
"2024-02-05","Email","A",2803,227,23,2.73,914.51
"2024-02-15","Facebook","B",9171,335,18,61.21,1181.66
"2024-01-31","email","A",3261,304,40,3.36,2065.48
"2024-02-08","Instagram","B",9522,167,7,53.78,318.1
"2024-01-24","Instagram","B",9150,184,7,46.46,467.23
"2024-02-16","Instagram","B",9078,223,10,49.13,516.55
"2024-03-01","Google Search","A",4796,168,16,54.75,900.38
"2024-02-27","Google Search","A",4729,196,19,59.85,1191
"2024-03-30","Google Search","A",5332,204,18,68.48,1016.98
"2024-03-20","Email","A",3315,304,35,3.13,2094.64
"2024-02-22","TikTok","A",9326,178,5,40.92,250.3
"2024-01-04","Instagram","B",7886,201,7,40.48,445.8
"2024-02-19","Instagram","B",9812,288,9,56.19,467.95
"2024-01-09","Google Search","A",5028,168,15,58.92,996.52
"2024-02-16","Google Search","A",4690,144,15,62.61,779.15
"03/26/2024","Facebook","B",7925,251,10,58,487.48
"02/19/2024","TikTok","A",7049,101,2,28.7,107.69
"2024-02-21","Instagram","B",8558,192,8,46.08,523.9
"2024-02-04","Facebook","A",9159,140,5,53.11,215.74
"2024-03-23","TikTok","B",7865,185,7,29.96,400.48
"2024-02-28","Email","B",3560,242,20,3.03,967.68
"2024-03-12","Google Search","A",5635,198,17,67.16,923.29
"2024-02-01","Instagram","B",8143,202,9,42.81,474.73
"22-02-2024","Email","B",3186,307,35,3.25,2005.61
"2024-02-26","Instagram","B",10983,204,8,61.66,479.4
"01/01/2024","Google","A",5182,185,16,65.4,977.04
"2024-03-06","Email","A",2490,184,23,2.7,1281.53
"2024-03-21","Email","B",2670,259,32,2.75,1856.37
"2024-02-12","Google Search","B",4531,169,15,54.58,671.84
"2024-01-07","Email","B",3298,287,32,3.08,1329.28
"2024-03-17","Google Search","B",4680,182,16,61.39,752.23
"2024-02-02","Facebook","B",9547,254,13,NA,666.36
"19-02-2024","Facebook","A",7688,135,7,44.87,329.27
"2024-01-22","Email","A",3149,253,30,3.09,1953.52
"2024-01-02","Instagram","B",9249,232,10,52.43,481.14
"2024-01-19","Instagram","B",6337,114,5,31.53,297.23
"2024-01-24","TikTok","B",6275,208,10,22.51,585.27
"2024-01-29","Email","A",2623,204,23,2.64,1266.26
"2024-01-18","Email","B",2942,284,38,2.97,2040.32
"2024-03-30","Instagram","B",9360,199,8,49.55,554.52
"2024-02-23","Instagram","A",9663,151,5,54.06,286.67
"2024-03-17","tiktok","B",11622,489,22,44.11,931.6
"2024-03-26","Instagram","B",7334,183,8,40.88,378.49
"2024-02-15","Email","B",2975,186,18,NA,891.73
"02/28/2024","Instagram","B",8507,159,5,43.86,310.98
"02/11/2024","TikTok","A",9863,178,5,40.32,232.86
"2024-03-29","email","A",2908,214,27,3.14,2077.98
"2024-01-16","Email","B",3388,251,29,3.41,1314.93
"2024-03-30","Email","A",3021,286,38,2.98,2183.79
"2024-03-09","facebook","B",6970,143,7,43.33,517.7
"2024-02-02","Facebook","A",8023,123,6,51.52,388.88
"2024-01-20","Google Search","B",4424,157,17,51.42,1079.14
"2024-01-04","TikTok","B",8059,274,11,29.67,616.34
"07-02-2024","Google Search","B",5428,207,16,66.07,867.58
"2024-03-01","EMAIL","B",2564,143,20,2.45,1303.44
"23-01-2024","Google","B",4945,226,18,64.08,1126.99
"2024-02-03","Email","B",3161,413,55,3.23,3769.72
"2024-03-24","Facebook","A",6874,121,5,42.78,311.51
"2024-01-01","Tik Tok","A",8413,107,3,29.59,154.65
"2024-02-01","Facebook","B",8036,189,8,48.7,488.61
"2024-01-03","Instagram","B",9095,180,6,47.28,383.44
"2024-01-30","Tik Tok","A",7470,138,3,31.76,142.07
"2024-02-14","TikTok","B",7830,222,10,30.55,576.82
"02/02/2024","Google Search","B",4907,211,16,60.77,1097.14
"2024-03-30","Facebook","B",7675,159,6,52.47,316.98
"2024-02-03","Facebook","A",8064,197,11,54.81,677.7
"2024-02-02","TikTok","A",9726,154,4,40.16,193.83
"2024-01-18","Google Search","B",4443,182,15,51.24,885.62
"2024-01-18","Facebook","B",8446,214,10,59.63,666.75
"2024-03-29","Facebook","B",7894,254,13,54.94,732.08
"2024-01-29","TikTok","A",10427,220,5,44.19,269.01
"2024-02-09","instagram","B",7467,183,6,41.2,304.05
"2024-01-13","Facebook","A",7801,101,5,51.89,307.12
"18-01-2024","Google Search","A",4872,222,20,64.04,1064.7
"2024-03-04","Email","B",2896,299,30,2.8,1354.19
"2024-02-19","Instagram","A",9500,104,2,48.28,94.27
"2024-01-12","Facebook","B",8260,201,10,52.52,562.16
"2024-01-17","Email","B",3199,303,23,3.14,1035.7
"04-01-2024","Facebook","B",6759,136,8,42.65,417.91
"2024-01-25","Instagram","B",9840,199,7,58.45,449.48
"2024-02-03","TikTok","A",8301,118,2,35.34,133.54
"2024-03-04","Google Search","B",5410,148,11,59.46,780.2
"2024-02-13","Email","B",2859,255,27,2.88,1487.02
"2024-03-17","Google Search","A",4638,155,13,55.39,648.44
"2024-01-19","email","A",3024,237,24,3.1,900.84
"2024-03-13","TikTok","B",9115,317,12,34.47,590.9
"2024-03-09","Instagram","B",10102,246,10,59.64,509.36
"2024-02-20","Facebook","A",8494,110,6,48.75,332
"2024-03-05","Email","B",3533,362,35,3.56,1968.02
"2024-02-23","Email","B",2868,258,33,2.81,1553.85
"2024-03-17","Email","B",2910,280,33,2.98,1938.59
"2024-01-21","Facebook","A",9860,170,9,65.02,415.67
"2024-02-03","Instagram","B",8522,194,6,NA,327.05
"26-01-2024","Facebook","A",6759,158,7,44.02,468.01
"2024-01-20","Facebook","A",9044,186,7,61.02,427.77
"2024-01-15","Facebook","B",8314,251,16,54.03,1098.84
"2024-03-16","Instagram","B",9945,223,6,55.04,258.87
"2024-02-26","Email","B",2825,229,22,2.63,1152.28
"2024-02-23","Instagram","B",11197,165,4,68.25,281.54
"2024-01-26","Email","A",3374,261,31,3.71,1663.62
"2024-01-26","Facebook","B",7689,167,9,47.93,434.3
"2024-03-08","TikTok","B",12778,531,18,54.32,1038.18
"2024-02-16","Facebook","B",9184,207,10,59.98,515.16
"2024-03-11","email","B",3215,305,37,3.03,1823.53
"2024-01-17","TikTok","A",8760,144,4,36.7,252.54
"2024-02-15","TikTok","B",9697,287,12,40.78,784.95
"2024-03-17","Email","A",3056,281,31,3.29,1970.62
"04-03-2024","Facebook","A",9161,120,6,56.76,289.61
"02/15/2024","IG","B",9207,209,10,53.58,650.31
"2024-01-09","Google Search","B",5025,180,14,55.64,672.86
"2024-03-26","TikTok","A",11990,213,6,48.18,371.63
"2024-01-26","TikTok","B",8548,297,13,33.8,787.01
"2024-03-07","EMAIL","B",2919,229,23,2.66,1149.62
"2024-01-16","Facebook","B",6440,154,7,43.27,394.05
"2024-01-22","Google Search","A",5002,220,17,58.18,857.73
"2024-01-29","Facebook","B",6581,157,8,41.91,489.79
"2024-01-08","Google Search","B",4564,176,11,58.57,556.64
"2024-02-10","Instagram","B",9329,222,10,52.3,505.2
"2024-01-28","Google Search","A",5360,277,19,63.88,1142.67
"2024-01-05","Email","B",2684,279,30,2.68,1643.59
"2024-03-26","Google Search","B",5139,147,9,58.51,433.19
"2024-02-25","Facebook","B",9118,263,14,NA,853.67
"2024-01-09","Instagram","B",8101,152,6,46.54,301.92
"2024-01-01","Facebook","A",9097,196,8,60.48,453.18
"2024-02-28","Facebook","B",8854,232,14,63.11,730.8
"2024-03-21","Tik Tok","A",11788,283,6,46.28,325.26
"2024-01-06","Google Search","A",4401,208,19,51.31,921.52
"03/13/2024","Instagram","B",9872,213,8,58.31,475.45
"2024-01-22","Google Search","B",5309,196,17,61.02,791.05
"2024-01-09","facebook","A",9068,146,7,64.89,461.04
"2024-03-19","Google Search","A",5524,225,19,59.22,843.16
"2024-01-28","TikTok","B",8605,186,7,31.35,287.91
"2024-02-02","Email","B",2829,197,23,2.73,1263.53
"2024-03-06","Instagram","B",8762,234,7,NA,325.81
"2024-02-17","Facebook","A",8173,138,6,51.61,368.45
"2024-01-24","Google Search","B",5337,267,22,62.03,1345.65
"2024-03-25","Email","B",2387,202,19,2.42,1052.32
"01-02-2024","Google Search","A",4946,211,22,61.3,1127.48
"03/11/2024","Google Search","B",4954,186,17,52.23,1092.35
"2024-01-31","Instagram","A",8284,114,4,46.24,218.09
"03/19/2024","Google Search","B",5153,215,20,59.54,1218.39
"02/09/2024","email","A",3046,252,32,3.01,1826.42
"2024-01-28","Facebook","A",7676,107,5,52.76,287.42
"2024-01-02","facebook","A",8258,140,5,57.74,330.68
"28-03-2024","Google Search","A",4435,174,17,NA,1211.74
"03/24/2024","Instagram","B",9326,214,11,54.22,649.21
"2024-01-11","Instagram","B",8822,242,10,48.91,660.59
"2024-03-30","Facebook","A",8736,173,7,60.45,444.73
"2024-03-20","Email","B",2695,251,26,2.69,1321.25
"2024-01-22","Facebook","A",8181,140,8,54.31,355.68
"2024-03-01","Instagram","A",10004,149,4,55.7,233.9
"2024-01-16","TikTok","B",7857,247,10,34.36,467.34
"2024-01-23","TikTok","A",8931,193,4,36.15,291.13
"2024-01-15","Google Search","A",4500,196,17,54.99,776.14
"2024-03-17","facebook","B",7630,182,10,49.38,591.38
"2024-01-01","Email","B",2972,152,12,2.85,798.63
"2024-03-15","instagram","B",6751,180,8,34.92,457.47
"2024-01-06","Facebook","B",8039,221,12,47.91,702.82
"2024-01-27","Facebook","B",7473,200,13,44.59,791.7
"2024-02-08","Facebook","A",8078,147,7,49.78,306.39
"2024-01-22","Email","B",3499,220,17,3.33,979.23
"2024-03-03","TikTok","A",9262,175,4,38.28,251.81
"2024-02-14","Email","A",3669,283,34,3.46,1779.6
"2024-02-15","TikTok","A",8949,124,3,34.85,140.4
"2024-02-06","Facebook","A",7023,106,5,44.78,342.03
"2024-01-18","Email","A",3264,315,33,3.3,2131.98
"2024-01-03","Google Search","A",4498,187,17,53.98,874.52
"2024-03-23","Email","A",3035,164,17,3.02,1075.69
"2024-03-12","TikTok","A",8905,141,4,38.39,218.23
"2024-01-22","Instagram","A",9388,87,3,52.03,171.22
"2024-01-24","Email","B",3076,230,32,3.01,1445.99
"2024-01-07","Google Search","B",5368,197,17,64.91,783.51
"2024-03-10","Facebook","B",8288,168,8,53.69,449.16
"2024-03-11","Facebook","B",6957,168,8,48.35,336.16
"2024-02-04","Facebook","B",7931,167,10,51.24,597.53
"2024-01-08","Email","B",3249,219,20,3.35,1138.56
"03/18/2024","Email","A",2351,224,26,2.54,1489.25
"2024-02-06","EMAIL","A",3285,280,29,NA,1930.67
"2024-03-21","Google Search","A",4837,181,12,NA,641.74
"2024-02-06","Google Search","A",4649,229,18,58.67,969.18
"2024-01-01","Google Search","B",5316,209,21,61.85,1032.91
"2024-03-01","Facebook","A",7451,137,6,45.69,367.64
"2024-02-08","Google Search","A",5495,261,18,65.6,974.1
"2024-03-16","Facebook","A",8608,168,7,56.79,415.82
"2024-03-03","Google Search","B",5530,195,15,60.57,844.97
"2024-03-28","TikTok","A",12807,290,6,44.96,333.29
"2024-01-25","Google Search","B",5190,237,24,66.41,1216.22
"2024-02-13","TikTok","A",9862,237,6,37.76,284.35
"2024-03-13","Email","A",3559,382,57,3.21,2766.41
"2024-03-18","Google Search","B",4402,163,13,52.01,881.13
"01/07/2024","Google Search","A",5019,189,17,57.9,875.89
"2024-01-05","TikTok","B",7053,171,8,26.88,377.83
"2024-02-15","Instagram","A",7823,115,4,NA,202.5
"2024-02-11","Google Search","B",5021,217,21,57.61,1304.65
"18-02-2024","TikTok","B",9272,301,13,39.77,834.4
"2024-03-07","Instagram","B",9094,136,6,45.43,359.19
"2024-02-24","Google Search","B",5879,240,23,73.21,1289.17
"2024-03-23","Google Search","B",5120,191,14,65.47,816.82
"15-02-2024","Google Search","A",5214,227,24,58.53,1560.89
"2024-02-21","Facebook","B",6586,170,9,46.44,500.53
"2024-03-03","Email","A",3252,207,21,3.16,1112.67
"02/23/2024","Google Search","B",4511,192,17,52.11,1028.93
"2024-01-15","Email","A",2637,254,34,NA,1725.07
"2024-02-12","Email","B",3162,233,28,3.14,1759.86
"2024-02-08","Facebook","B",9172,150,8,56.79,414.48
"2024-02-16","Email","B",3117,242,28,3.13,1609.84
"2024-01-20","Instagram","B",9476,249,10,55.36,596.64
"01/08/2024","TikTok","A",7113,133,3,30.44,158.87
"2024-03-21","Facebook","A",7887,124,4,51.95,229.25
"09-02-2024","Google Search","A",5046,192,21,62.42,1253.59
"2024-02-15","Facebook","A",7580,114,6,43.88,396.08
"2024-02-11","Facebook","A",8485,132,4,54.68,252.7
"31-01-2024","Google","A",4506,209,20,NA,735.55
"22-03-2024","Email","B",2645,197,25,2.34,1279.78
"2024-01-21","Instagram","B",8462,140,6,46.24,361.68
"17-02-2024","Tik Tok","A",9905,225,6,35.46,292.83
"2024-01-21","Google Search","A",5485,270,29,66.68,1302.43
"2024-02-24","Facebook","A",7564,127,7,50.63,359.12
"29-02-2024","Instagram","A",9806,147,5,52.65,248.93
"2024-03-12","Facebook","A",9265,155,7,60.55,387.89
"2024-02-09","Email","B",3008,267,30,NA,1367.21
